kind,event,lag,mean_corr
crash onset,578116,40,0.2991071939468384
crash onset,578116,50,0.31618109345436096
crash onset,578116,60,0.2740858793258667
crash onset,578116,70,0.33491942286491394
crash onset,578116,80,0.36822715401649475
crash onset,578116,90,0.3389734923839569
crash onset,579389,-90,0.38605669140815735
crash onset,579389,-80,0.41184067726135254
crash onset,579389,-70,0.441799521446228
crash onset,579389,-60,0.5231027007102966
crash onset,579389,-50,0.4945729374885559
crash onset,579389,-40,0.494605153799057
crash onset,579389,-30,0.43249741196632385
crash onset,579389,-20,0.47806188464164734
crash onset,579389,-10,0.4711114764213562
crash onset,579389,0,0.4795265197753906
crash onset,579389,10,0.5713449716567993
crash onset,579389,20,0.6012365818023682
crash onset,579389,30,0.5559718012809753
crash onset,579389,40,0.5356029272079468
crash onset,579389,50,0.47911450266838074
crash onset,579389,60,0.49456530809402466
crash onset,580542,-90,0.44968461990356445
crash onset,580542,-80,0.44842392206192017
crash onset,580542,-70,0.4810291528701782
crash onset,580542,-60,0.4415114223957062
crash onset,580542,-50,0.537810742855072
crash onset,580542,-40,0.5995124578475952
crash onset,580542,-30,0.6086812615394592
crash onset,580542,-20,0.5068902373313904
crash onset,580542,-10,0.4191785752773285
crash onset,580542,0,0.40206944942474365
crash onset,580542,10,0.4070841372013092
crash onset,580542,20,0.5259308815002441
crash onset,580542,30,0.62241131067276
crash onset,580542,40,0.5989757776260376
crash onset,580542,50,0.6213704347610474
crash onset,580542,60,0.6290687918663025
crash onset,580542,70,0.6265777349472046
crash onset,580542,80,0.6830950975418091
crash onset,591293,-90,0.42862871289253235
crash onset,591293,-80,0.4346018433570862
crash onset,591293,-70,0.37505418062210083
crash onset,591293,-60,0.431975781917572
crash onset,591293,-50,0.5261400938034058
crash onset,591293,-40,0.5931499600410461
